,date,lon,lat,type,elevation,Barren,Cultivated and Managed Vegetation,Deciduous Broadleaf Trees,Evergreen Broadleaf Trees,Evergreen Deciduous Needleleaf Trees,Herbaceous Vegetation,Mixed-Other Trees,Open Water,Regularly Flooded Vegetation,Shrubs,Snow-Ice,Urban-Built-up,distance_light,distance_water,Temperature,U_Wind,V_wind,Precipitation,NDVI,Pop,year_precipitation,month
87,2016/10/29,114.417955,32.262168,1,51,0,100,0,0,0,0,0,0,0,0,0,0,11.4293576,2.100164673,284.5466265,-0.786250685,-0.537140531,0.005921192,0.435775,266,1000,10
88,2016/2/13,119.5907805,31.11917974,0,285,0,80,0,0,0,0,20,0,0,0,0,0,6.997260597,7.675179983,280.9269715,1.066369057,0.293999763,0.0005911040000000001,0.522929981,126,1210,2
89,2014/10/2,122.29052,45.46685,1,167,24,52,0,0,0,24,0,0,0,0,0,0,53.8588265,0.5260915279999999,280.6882673,0.390543291,-0.853861715,9.91e-05,0.237769995,16,409,10
90,2018/12/27,101.8040006,39.91783874,0,1268,100,0,0,0,0,0,0,0,0,0,0,0,96.76682856,5.555030697,260.71521,-1.153429359,0.34323189200000004,5.7399999999999986e-05,0.08805499900000001,0,75,12
91,2015/9/28,92.7706212,32.68690141,0,5058,0,45,0,0,0,55,0,0,0,0,0,0,114.321451,7.594336482,273.8808768,1.406274267,1.697718339,0.001021516,0.28976001,0,397,9
92,2019/1/27,120.7523604,41.301883,0,346,0,87,0,0,13,0,0,0,0,0,0,0,26.50983281,19.88399823,270.1634042,1.404744246,-1.079094836,0.0,0.209305005,34,556,1
93,2015/11/27,91.39733497,37.62204264,0,3436,100,0,0,0,0,0,0,0,0,0,0,0,90.64189247,42.68853812,265.5488063,0.934062673,0.8490961020000001,1.57e-05,0.058859998,0,62,11
94,2015/7/6,118.0477135,41.71603035,0,1032,0,37,6,0,15,8,33,0,0,0,0,0,27.43229209,18.14154122,291.3310896000001,0.316278628,0.928599166,0.000616118,0.74511499,43,494,7
95,2015/10/21,116.0846103,31.00243167,0,1153,0,0,0,0,20,0,80,0,0,0,0,0,32.88439073,13.01076508,288.5370003999999,-0.939971856,-1.116576212,2.46e-05,0.76274502,28,1683,10
96,2016/8/20,133.996653,47.513798,1,49,35,59,0,0,0,0,6,0,0,0,0,0,15.06579387,15.25449071,293.0742362,0.6459313289999999,1.37224681,0.001375789,0.79198501,18,637,8
97,2015/1/7,97.67008384,35.00582852,0,4267,0,0,0,0,0,0,0,100,0,0,0,0,60.7921611,0.0,255.2466561,1.7177079869999998,0.8657443440000001,0.000579573,-0.3,0,339,1
